window_id,lane,run_id,integration_stability,stability_note
gate-c-window-2026-05-12,copilot,run-01,stable,p1 observation run
gate-c-window-2026-05-12,claude,run-01,stable,p1 observation run
gate-c-window-2026-05-12,chatgpt,run-01,stable,p1 observation run
gate-c-window-2026-05-12,copilot,run-02,stable,p1 observation run
gate-c-window-2026-05-12,claude,run-02,stable,p1 observation run
gate-c-window-2026-05-12,chatgpt,run-02,stable,p1 observation run
gate-c-window-2026-05-12,copilot,run-03,stable,p1 observation run
gate-c-window-2026-05-12,claude,run-03,stable,p1 observation run
gate-c-window-2026-05-12,chatgpt,run-03,stable,p1 observation run
gate-c-window-2026-05-12,copilot,run-04,stable,p1 observation run
gate-c-window-2026-05-12,claude,run-04,stable,p1 observation run
gate-c-window-2026-05-12,chatgpt,run-04,stable,p1 observation run
gate-c-window-2026-05-12,copilot,run-05,stable,p1 observation run
gate-c-window-2026-05-12,claude,run-05,stable,p1 observation run
gate-c-window-2026-05-12,chatgpt,run-05,stable,p1 observation run
gate-c-window-2026-05-12,copilot,run-06,stable,p1 observation run
gate-c-window-2026-05-12,claude,run-06,stable,p1 observation run
gate-c-window-2026-05-12,chatgpt,run-06,stable,p1 observation run
gate-c-window-2026-05-12,copilot,run-07,stable,p1 observation run
gate-c-window-2026-05-12,claude,run-07,stable,p1 observation run
gate-c-window-2026-05-12,chatgpt,run-07,stable,p1 observation run
gate-c-window-2026-05-12,copilot,run-08,stable,p1 observation run
gate-c-window-2026-05-12,claude,run-08,stable,p1 observation run
gate-c-window-2026-05-12,chatgpt,run-08,stable,p1 observation run
gate-c-window-2026-05-12,copilot,run-09,stable,p1 observation run
gate-c-window-2026-05-12,claude,run-09,stable,p1 observation run
gate-c-window-2026-05-12,chatgpt,run-09,stable,p1 observation run
gate-c-window-2026-05-12,copilot,run-10,stable,p1 observation run
gate-c-window-2026-05-12,claude,run-10,stable,p1 observation run
gate-c-window-2026-05-12,chatgpt,run-10,stable,p1 observation run
