window_id,lane,run_id,reopen_count,revert_count,total_changes,reopen_revert_rate
gate-c-window-2026-05-15,copilot,run-01,0,0,1,0.000000
gate-c-window-2026-05-15,claude,run-01,0,0,1,0.000000
gate-c-window-2026-05-15,chatgpt,run-01,0,0,1,0.000000
gate-c-window-2026-05-15,copilot,run-02,0,0,1,0.000000
gate-c-window-2026-05-15,claude,run-02,0,0,1,0.000000
gate-c-window-2026-05-15,chatgpt,run-02,0,0,1,0.000000
gate-c-window-2026-05-15,copilot,run-03,0,0,1,0.000000
gate-c-window-2026-05-15,claude,run-03,0,0,1,0.000000
gate-c-window-2026-05-15,chatgpt,run-03,0,0,1,0.000000
gate-c-window-2026-05-15,copilot,run-04,0,0,1,0.000000
gate-c-window-2026-05-15,claude,run-04,0,0,1,0.000000
gate-c-window-2026-05-15,chatgpt,run-04,0,0,1,0.000000
gate-c-window-2026-05-15,copilot,run-05,0,0,1,0.000000
gate-c-window-2026-05-15,claude,run-05,0,0,1,0.000000
gate-c-window-2026-05-15,chatgpt,run-05,0,0,1,0.000000
gate-c-window-2026-05-15,copilot,run-06,0,0,1,0.000000
gate-c-window-2026-05-15,claude,run-06,0,0,1,0.000000
gate-c-window-2026-05-15,chatgpt,run-06,0,0,1,0.000000
gate-c-window-2026-05-15,copilot,run-07,0,0,1,0.000000
gate-c-window-2026-05-15,claude,run-07,0,0,1,0.000000
gate-c-window-2026-05-15,chatgpt,run-07,0,0,1,0.000000
gate-c-window-2026-05-15,copilot,run-08,0,0,1,0.000000
gate-c-window-2026-05-15,claude,run-08,0,0,1,0.000000
gate-c-window-2026-05-15,chatgpt,run-08,0,0,1,0.000000
gate-c-window-2026-05-15,copilot,run-09,0,0,1,0.000000
gate-c-window-2026-05-15,claude,run-09,0,0,1,0.000000
gate-c-window-2026-05-15,chatgpt,run-09,0,0,1,0.000000
gate-c-window-2026-05-15,copilot,run-10,0,0,1,0.000000
gate-c-window-2026-05-15,claude,run-10,0,0,1,0.000000
gate-c-window-2026-05-15,chatgpt,run-10,0,0,1,0.000000
